Document,Topic,Name,Representation,Aspect1,Representative_Docs,Top_n_words,Probability,Representative_document
Just remember you young leaders there is a lot of seniors including boomers who are now not able to buy food and lied too so the majority of seniors will not vote or stand for no integrity Next election forget it we will not vote! So guess what only 19 year olds will vote for weed!,0,0_vaccine_vaccines_vaccination_vaccinated,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['Reflections after working at todays mass vaccine clinic: 1. COVAX data entry continues to kill our speed. 2. Due to Pfizer shortages, people 30+ can only get Moderna many declined. 3. The overwhelmingly majority of booster recipients were younger adults we must reach seniors.', 'Do Seniors need attention by the chief marketing officer to help us to understand the 2 Shot Pfizer vaccine for our age-diminished immune systems? Is there a need to consider our reduced immunity, due to our age, when deciding how soon we need the 2nd shot for Full Immunity? 28 days or 4 moths?', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccination - vaccinated - vaccinations - immunity - unvaccinated - immunocompromised - immune - patients,0.8985063242287502,False
"I get the same thing on my neck and I just hate it! What is the best way to pull that in? Crap now I sound like the creepy old ladies discussing plastic surgery in the movie ""Brazil"" while bombs are going off all around them in the restaurant.",-1,-1_avenue_emergency_alarm_rescue435,"['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['Alarm (single Source) [North York] Brighton Avenue b/w Goddard Street / Elder Street Dispatched: 03/10/21 12:32 EDT [Stn: 143] Pumper-143 Rescue-112 General Area:', 'Support lesbian, gay, bisexual, transgender, intersex, queer or questioning nondiscrimination protections: There are many states across the country without explicit laws protecting LGBT elders from discrimination. Many residents have lived in these states before. View article...', 'The last  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual Sub-Working Group meeting, but not the last task at hand. We continue with the healing process. We move forward with an amazing group of knowledge-holders, Elders, and Two-Spirits towards the next generations.  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual']",avenue - emergency - alarm - rescue435 - transgender - crisis - queer - homeless - lesbian - officers,0.0,False
Simply because after the elderly in long term care the folks in the Downtown east side were the most vulnerable and there was a near 50% infection rate. Now they almost have full herd immunity thankfully. The amount 9f people without access to places to self isolate or even washroom facilities...,0,0_vaccine_vaccines_vaccination_vaccinated,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['Reflections after working at todays mass vaccine clinic: 1. COVAX data entry continues to kill our speed. 2. Due to Pfizer shortages, people 30+ can only get Moderna many declined. 3. The overwhelmingly majority of booster recipients were younger adults we must reach seniors.', 'Do Seniors need attention by the chief marketing officer to help us to understand the 2 Shot Pfizer vaccine for our age-diminished immune systems? Is there a need to consider our reduced immunity, due to our age, when deciding how soon we need the 2nd shot for Full Immunity? 28 days or 4 moths?', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccination - vaccinated - vaccinations - immunity - unvaccinated - immunocompromised - immune - patients,1.0,False
"I understand and think its a good consideration- on the other hand I Have also had this discussion with vulnerable people who feel safer with raised curbs- especially people with disabilities and seniors with mobility issues. Yes, Its more accessible but feeling safe important too!",-1,-1_avenue_emergency_alarm_rescue435,"['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['Alarm (single Source) [North York] Brighton Avenue b/w Goddard Street / Elder Street Dispatched: 03/10/21 12:32 EDT [Stn: 143] Pumper-143 Rescue-112 General Area:', 'Support lesbian, gay, bisexual, transgender, intersex, queer or questioning nondiscrimination protections: There are many states across the country without explicit laws protecting LGBT elders from discrimination. Many residents have lived in these states before. View article...', 'The last  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual Sub-Working Group meeting, but not the last task at hand. We continue with the healing process. We move forward with an amazing group of knowledge-holders, Elders, and Two-Spirits towards the next generations.  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual']",avenue - emergency - alarm - rescue435 - transgender - crisis - queer - homeless - lesbian - officers,0.0,False
Even though the 20 something is will go home and infect older adults? My gut says the opposite but I would like to see the math.,0,0_vaccine_vaccines_vaccination_vaccinated,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['Reflections after working at todays mass vaccine clinic: 1. COVAX data entry continues to kill our speed. 2. Due to Pfizer shortages, people 30+ can only get Moderna many declined. 3. The overwhelmingly majority of booster recipients were younger adults we must reach seniors.', 'Do Seniors need attention by the chief marketing officer to help us to understand the 2 Shot Pfizer vaccine for our age-diminished immune systems? Is there a need to consider our reduced immunity, due to our age, when deciding how soon we need the 2nd shot for Full Immunity? 28 days or 4 moths?', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccination - vaccinated - vaccinations - immunity - unvaccinated - immunocompromised - immune - patients,1.0,False
Very nice operator on 87 Cosburn assisting an elderly passenger by going into the East York Acres loop after normal service hours to make sure she got off safely. make sure this op gets the recognition he deserves. Badge is 81992 on 65 run.,-1,-1_avenue_emergency_alarm_rescue435,"['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['Alarm (single Source) [North York] Brighton Avenue b/w Goddard Street / Elder Street Dispatched: 03/10/21 12:32 EDT [Stn: 143] Pumper-143 Rescue-112 General Area:', 'Support lesbian, gay, bisexual, transgender, intersex, queer or questioning nondiscrimination protections: There are many states across the country without explicit laws protecting LGBT elders from discrimination. Many residents have lived in these states before. View article...', 'The last  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual Sub-Working Group meeting, but not the last task at hand. We continue with the healing process. We move forward with an amazing group of knowledge-holders, Elders, and Two-Spirits towards the next generations.  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual']",avenue - emergency - alarm - rescue435 - transgender - crisis - queer - homeless - lesbian - officers,0.0,False
"Between 2011 and 2018, the previous Liberal government built only 611 long term care beds in Ontario. That is less than one bed per home! This new build in Ajax will add 320 beds alone! 320 modern and comfortable beds for Ontario's seniors. We are delivering care our seniors deserve.",0,0_vaccine_vaccines_vaccination_vaccinated,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['Reflections after working at todays mass vaccine clinic: 1. COVAX data entry continues to kill our speed. 2. Due to Pfizer shortages, people 30+ can only get Moderna many declined. 3. The overwhelmingly majority of booster recipients were younger adults we must reach seniors.', 'Do Seniors need attention by the chief marketing officer to help us to understand the 2 Shot Pfizer vaccine for our age-diminished immune systems? Is there a need to consider our reduced immunity, due to our age, when deciding how soon we need the 2nd shot for Full Immunity? 28 days or 4 moths?', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccination - vaccinated - vaccinations - immunity - unvaccinated - immunocompromised - immune - patients,1.0,False
"Minister Lecce says government committed to public education. The system has been designed for and by the unions, Lecce says as he speaks about regulation 274, one of the issues at play, which he says preferences seniority in hiring. Not true Stephen, not true, yells",-1,-1_avenue_emergency_alarm_rescue435,"['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['Alarm (single Source) [North York] Brighton Avenue b/w Goddard Street / Elder Street Dispatched: 03/10/21 12:32 EDT [Stn: 143] Pumper-143 Rescue-112 General Area:', 'Support lesbian, gay, bisexual, transgender, intersex, queer or questioning nondiscrimination protections: There are many states across the country without explicit laws protecting LGBT elders from discrimination. Many residents have lived in these states before. View article...', 'The last  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual Sub-Working Group meeting, but not the last task at hand. We continue with the healing process. We move forward with an amazing group of knowledge-holders, Elders, and Two-Spirits towards the next generations.  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual']",avenue - emergency - alarm - rescue435 - transgender - crisis - queer - homeless - lesbian - officers,0.0,False
"Was shopping at yesterday and witnessed an elderly man being treated like garbage by 4 employees. The line was winding all around the store, and this poor man had a little or milk and one other item, and essentially wanted to skip the line. 1/",3,3_millennials_millennial_millenials_decades,"['millennials', 'millennial', 'millenials', 'decades', 'grandkids', 'temperatures', 'temperature', 'immature', 'generationeral', 'shirtless']","['millennials', 'millennial', 'millenials', 'decades', 'grandkids', 'temperatures', 'temperature', 'immature', 'generationeral', 'shirtless']","['Hallucination does not understand average temperature nor normal record highs. He also thinks 24C is 3x 8C. He also lies about local 50 year temperatures. And supports creepy old men that like little girl harems to follow him around.', 'Hey, generation Z, stop calling kind men Simps. Its gross. Do you know how much damage your elder millennials have tried to undo from creating generations of toxic masculine culture? You Are not honoring mental health while belittling someone for valuing decency and equity.', 'I was in Kuala Lumpur when my oldest son was a toddler and he was bright red all the time from the heat. That was just high 30s with crazy humidity. We kept cold wash cloths on his head. His normally straight hair was a mass of blond curls. Cannot imagine babies or seniors in 50C!']",millennials - millennial - millenials - decades - grandkids - temperatures - temperature - immature - generationeral - shirtless,1.0,False
Again nothing for seniors,0,0_vaccine_vaccines_vaccination_vaccinated,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['Reflections after working at todays mass vaccine clinic: 1. COVAX data entry continues to kill our speed. 2. Due to Pfizer shortages, people 30+ can only get Moderna many declined. 3. The overwhelmingly majority of booster recipients were younger adults we must reach seniors.', 'Do Seniors need attention by the chief marketing officer to help us to understand the 2 Shot Pfizer vaccine for our age-diminished immune systems? Is there a need to consider our reduced immunity, due to our age, when deciding how soon we need the 2nd shot for Full Immunity? 28 days or 4 moths?', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccination - vaccinated - vaccinations - immunity - unvaccinated - immunocompromised - immune - patients,0.740521499185134,False
