Document,Topic,Name,Representation,Aspect1,Representative_Docs,Top_n_words,Probability,Representative_document
Just remember you young leaders there is a lot of seniors including boomers who are now not able to buy food and lied too so the majority of seniors will not vote or stand for no integrity Next election forget it we will not vote! So guess what only 19 year olds will vote for weed!,-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
"I get the same thing on my neck and I just hate it! What is the best way to pull that in? Crap now I sound like the creepy old ladies discussing plastic surgery in the movie ""Brazil"" while bombs are going off all around them in the restaurant.",3,3_influencer_influence_rich_violence,"['influencer', 'influence', 'rich', 'violence', 'superiority', 'resilient', 'pastor', 'holocaust', 'sacrificing', 'opus']","['influencer', 'influence', 'rich', 'violence', 'superiority', 'resilient', 'pastor', 'holocaust', 'sacrificing', 'opus']","['So much wrong in this world our Gitxsan continue to lose our people young and elderly while we struggle to heal and maintain our cultural peace. As they poison lands we draw our medicines and food, is it any wonder now is the time the buckle down on violence', ""With every other person on social media 30 flogging their 'look at my ass or car I am an influencer now' posts, pardon my hesitation to validate their self anointed superiority. We respect elders, witness their experience or gleaned knowledge and we grow. This is not a new idea."", 'I think the issue at hand is less about books and more about power and money. Should any pastor or elder be rich? The Bible clearly wants of the dangers of money. Those with great power or influence or wealth would present a much greater conflict of interest when having a book mentioned 2/2']",influencer - influence - rich - violence - superiority - resilient - pastor - holocaust - sacrificing - opus,1.0,False
Simply because after the elderly in long term care the folks in the Downtown east side were the most vulnerable and there was a near 50% infection rate. Now they almost have full herd immunity thankfully. The amount 9f people without access to places to self isolate or even washroom facilities...,2,2_vaccine_vaccines_vaccinated_vaccination,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots', 'Can my elderly mom get her second dose please? She is caring for my elderly father with prostate cancer. But she keeps being turned away. Alberta covid Alberta vaccine', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccinated - vaccination - covid19 - covid - unvaccinated - coronavirus - immunity - immunocompromised,0.5194151235724294,False
"I understand and think its a good consideration- on the other hand I Have also had this discussion with vulnerable people who feel safer with raised curbs- especially people with disabilities and seniors with mobility issues. Yes, Its more accessible but feeling safe important too!",5,5_sidewalk_sidewalks_curbs_curb,"['sidewalk', 'sidewalks', 'curbs', 'curb', 'streets', 'pedestrians', 'pedestrian', 'ramps', 'corner', 'lanes']","['sidewalk', 'sidewalks', 'curbs', 'curb', 'streets', 'pedestrians', 'pedestrian', 'ramps', 'corner', 'lanes']","['Opened Sign on Street, Lane, Sidewalk - Repair or Replace request via android at 218 Cornerstone Height Northeast . Missing sidewalk. elderly people and kids can trip on it.', 'Opened Sidewalk or Curb Repair request via iphone at 304 Cresthaven Place South West . Sidewalk has many cracks, the whole block from the corner to the next corner has big holes after the winter. there are many elder people in the area', '120% supportive this investment to catch up backlog 600 curb ramps sidewalks across City. Represents important shift towards prioritizing the pedestrian (including seniors, persons with disabilities and parents with strollers) who have often been left out. Key to walkable communities.']",sidewalk - sidewalks - curbs - curb - streets - pedestrians - pedestrian - ramps - corner - lanes,1.0,False
Even though the 20 something is will go home and infect older adults? My gut says the opposite but I would like to see the math.,2,2_vaccine_vaccines_vaccinated_vaccination,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots', 'Can my elderly mom get her second dose please? She is caring for my elderly father with prostate cancer. But she keeps being turned away. Alberta covid Alberta vaccine', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccinated - vaccination - covid19 - covid - unvaccinated - coronavirus - immunity - immunocompromised,0.8739191905891517,False
Very nice operator on 87 Cosburn assisting an elderly passenger by going into the East York Acres loop after normal service hours to make sure she got off safely. make sure this op gets the recognition he deserves. Badge is 81992 on 65 run.,-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
"Between 2011 and 2018, the previous Liberal government built only 611 long term care beds in Ontario. That is less than one bed per home! This new build in Ajax will add 320 beds alone! 320 modern and comfortable beds for Ontario's seniors. We are delivering care our seniors deserve.",-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
"Minister Lecce says government committed to public education. The system has been designed for and by the unions, Lecce says as he speaks about regulation 274, one of the issues at play, which he says preferences seniority in hiring. Not true Stephen, not true, yells",0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,0.7603834763799341,False
"Was shopping at yesterday and witnessed an elderly man being treated like garbage by 4 employees. The line was winding all around the store, and this poor man had a little or milk and one other item, and essentially wanted to skip the line. 1/",0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,0.8858006378012092,False
Again nothing for seniors,0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,0.8046532625355747,False
